index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,crime_total,moving_total,parking_total
317,4.0,2.241291147331416,3.0,0.0,21.0,2.0,280.31601801222257
318,4.0,2.0,9.0,0.0,42.0,92.87821782178214,6.0
319,3.0,2.0,8.0,0.0,38.0,92.87821782178214,2.0
320,4.0,2.241291147331416,2.0,0.0,35.0,92.87821782178214,2.0
321,5.0,2.241291147331416,13.0,0.0,34.0,92.87821782178214,1.0
322,6.0,2.241291147331416,9.0,0.0,25.0,92.87821782178214,280.31601801222257
323,6.0,2.241291147331416,1.0,0.0,31.0,3.0,2.0
324,4.0,2.241291147331416,2.0,0.0,13.0,5.0,1.0
325,7.0,2.241291147331416,9.0,0.0,37.0,92.87821782178214,16.0
326,10.0,1.0,5.0,0.0,42.0,8.0,16.0
327,10.0,2.241291147331416,8.0,0.0,35.0,92.87821782178214,1.0
328,41.0,1.0,8.0,1.0,5.0,92.87821782178214,309.0
329,47.0,2.241291147331416,4.0,0.0,23.0,92.87821782178214,1195.0
330,42.0,2.241291147331416,17.0,14.0,30.0,92.87821782178214,2022.0
331,37.0,2.241291147331416,18.0,14.0,25.0,5.0,280.31601801222257
332,35.0,4.0,24.0,11.0,52.0,4.0,1474.0
333,42.0,8.0,29.0,16.0,82.0,16.0,1206.0
334,33.0,3.0,11.0,7.0,78.0,9.0,2092.0
335,56.0,9.0,37.0,6.0,191.0,14.0,5057.0
336,46.0,3.0,50.0,3.0,168.0,11.0,907.0
337,43.0,9.0,16.0,0.0,214.0,45.0,61.0
338,30.0,7.0,15.0,4.0,197.0,92.87821782178214,309.0
339,19.0,15.0,30.0,1.0,164.0,19.0,280.31601801222257
340,15.0,6.0,26.0,0.0,120.0,1.0,1139.0
341,12.0,1.0,13.0,1.0,90.0,12.0,787.0
342,17.0,2.0,4.0,0.0,74.0,1.0,237.0
343,12.0,2.0,11.0,0.0,48.0,92.87821782178214,284.0
344,8.0,2.0,3.0,0.0,62.0,14.0,607.0
345,9.0,1.0,13.0,0.0,88.0,3.0,280.0
346,11.0,4.0,13.0,0.0,93.0,6.0,389.0
347,14.0,1.0,20.0,0.0,73.0,7.0,280.31601801222257
348,9.0,1.0,30.0,1.0,110.0,6.0,3446.0
349,7.0,2.0,23.0,1.0,149.0,1.0,40.0
350,3.0,2.0,6.0,0.0,98.0,8.0,456.0
351,3.0,2.241291147331416,12.0,0.0,94.0,4.0,10.0
352,6.0,2.241291147331416,10.0,5.0,62.0,92.87821782178214,921.0
353,9.0,1.0,7.0,4.0,79.0,92.87821782178214,739.0
354,10.0,2.0,6.0,3.0,99.0,92.87821782178214,901.0
355,20.0,2.241291147331416,9.0,7.0,102.0,92.87821782178214,1137.0
356,9.0,2.241291147331416,0.0,0.0,112.0,92.87821782178214,280.31601801222257
357,2.0,2.241291147331416,1.0,0.0,37.0,2.0,162.0
358,1.0,2.241291147331416,1.0,0.0,54.0,92.87821782178214,280.31601801222257
359,1.0,2.241291147331416,5.0,0.0,18.0,92.87821782178214,121.0
360,7.0,2.241291147331416,17.0,0.0,91.0,92.87821782178214,1536.0
361,22.0,2.241291147331416,18.0,0.0,190.0,3.0,2745.0
362,15.0,2.241291147331416,20.0,2.0,253.0,9.0,2163.0
363,40.0,4.0,66.0,51.0,262.0,1.0,1100.0
364,30.0,7.0,114.0,93.0,240.0,2.0,2551.0
365,29.0,5.0,93.0,67.0,244.0,92.87821782178214,94.0
366,5.0,2.241291147331416,5.0,0.0,165.0,1.0,494.0
367,5.0,2.241291147331416,6.0,0.0,130.0,92.87821782178214,203.0
368,6.0,2.241291147331416,33.0,0.0,144.0,1.0,142.0
369,10.0,1.0,11.0,0.0,21.0,92.87821782178214,263.0
370,13.0,2.241291147331416,12.0,0.0,30.0,2.0,103.0
371,6.0,2.241291147331416,15.0,0.0,31.0,92.87821782178214,133.0
372,4.0,2.241291147331416,17.0,0.0,24.0,92.87821782178214,31.0
373,6.0,1.0,17.0,0.0,15.0,6.0,27.0
374,5.0,1.0,20.0,0.0,14.0,1.0,28.0
375,1.0,2.241291147331416,31.0,0.0,16.0,92.87821782178214,110.0
376,2.0,2.241291147331416,21.0,0.0,24.0,92.87821782178214,59.0
377,2.0,2.241291147331416,8.0,0.0,21.0,92.87821782178214,4.0
378,3.0,2.241291147331416,0.0,0.0,15.0,92.87821782178214,280.31601801222257
379,0.0,2.0,0.0,0.0,4.0,92.87821782178214,30.0
380,48.0,3.0,20.0,0.0,21.0,4.0,483.0
381,42.0,2.0,3.0,0.0,72.0,11.0,1828.0
382,46.0,2.0,14.0,3.0,82.0,10.0,1589.0
383,61.0,4.0,31.0,9.0,147.0,20.0,480.0
384,54.0,6.0,48.0,12.0,117.0,10.0,1114.0
385,32.0,1.0,16.0,7.0,85.0,8.0,280.31601801222257
386,43.0,6.0,26.0,10.0,116.0,2.0,2148.0
387,34.0,10.0,31.0,17.0,124.0,20.0,768.0
388,33.0,4.0,33.0,15.0,137.0,5.0,423.0
389,22.0,1.0,7.0,3.0,123.0,92.87821782178214,280.31601801222257
