index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,parking_total_neighbor
717,4.0,1.0,18.0,0.0,1.0,110.0,11.0,123.0,13.5,9.526352097130244,27.5,5.166666666666667,0.6666666666666666,93.16666666666669,73.5
718,3.0,7.719370860927152,21.0,0.0,0.0,95.0,2.0,2.0,12.333333333333336,9.026352097130244,26.33333333333333,5.166666666666667,0.3333333333333333,103.33333333333331,143.5
719,3.0,7.719370860927152,9.0,0.0,0.0,88.0,160.36049058256683,1.0,6.7142857142857135,5.165444654683065,23.0,2.4285714285714284,0.8571428571428571,96.71428571428572,97.42857142857143
720,4.0,1.0,29.0,0.0,2.0,85.0,22.0,72.0,10.125,5.644764072847682,18.125,3.5,0.875,95.375,154.41508171825285
721,4.0,7.719370860927152,26.0,0.0,0.0,61.0,160.36049058256683,461.0,7.1111111111111125,5.0663171449595295,23.11111111111111,1.6666666666666667,0.5555555555555556,59.66666666666666,173.6268119435606
722,4.0,7.719370860927152,27.0,5.0,1.0,77.0,1.0,107.0,6.1,3.8438741721854313,41.0,24.0,0.3,65.9,329.4320653746023
723,14.0,2.0,43.0,2.0,0.0,313.0,2.0,760.0,17.333333333333332,6.666666666666668,32.77777777777778,3.5555555555555562,1.6666666666666667,305.5555555555556,1559.591183749558
724,0.0,27.0,0.0,0.0,0.0,4.0,10292.0,138.71428571428572,32.0,38.0,53.0,22.0,3.0,4.0,5993.0
725,60.0,2.0,45.0,14.0,5.0,119.0,5.0,7691.0,54.85714285714285,13.817052980132447,94.85714285714286,58.85714285714285,4.0,233.57142857142856,3495.902950535146
726,57.0,20.0,120.0,71.0,2.0,633.0,14.0,3161.0,62.0,18.625,175.875,127.25,3.0,477.5,7461.125
727,43.0,19.0,271.0,233.0,1.0,567.0,17.0,7529.0,67.85714285714286,27.857142857142854,464.1428571428572,411.8571428571428,1.5714285714285714,725.0,10545.0
728,47.0,40.0,1079.0,1021.0,1.0,638.0,21.0,4180.0,56.66666666666666,33.666666666666664,415.5555555555555,372.66666666666674,2.1111111111111107,399.77777777777777,5905.8490341657825
729,37.0,39.0,398.0,360.0,2.0,157.0,19.0,603.3206537460227,52.444444444444436,35.111111111111114,342.3333333333333,297.5555555555556,2.5555555555555562,271.8888888888889,2835.702294860669
730,63.0,21.0,116.0,70.0,1.0,236.0,160.36049058256683,3747.0,55.81818181818182,33.0,259.1818181818182,217.0909090909091,1.8181818181818181,236.1818181818182,2666.087451021642
731,76.0,38.0,338.0,281.0,0.0,233.0,43.0,1432.0,64.57142857142857,34.714285714285715,169.57142857142858,124.28571428571428,1.4285714285714286,310.57142857142856,6997.7142857142835
732,68.0,35.0,188.0,148.0,1.0,314.0,23.0,5955.0,62.14285714285714,38.857142857142854,344.42857142857144,292.0,2.0,347.1428571428572,5086.142857142857
733,49.0,33.0,774.0,729.0,3.0,257.0,13.0,761.0,55.33333333333334,28.66666666666667,235.16666666666663,181.5,2.0,331.6666666666667,2999.553442291004
