column,,column,knn,I,p_norm,p_rand,z_norm,z_rand,ftr_type
RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR,2271,RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR,2,0.18409020728535003,0.0,0.0,23.522218374481405,23.575863288931966,parking
RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,2255,RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,6,0.18079817750277183,0.0,0.0,37.99962606677306,38.15377790631075,parking
PARK LESS THAN 25 FEET FROM AN INTERSECTION,2148,PARK LESS THAN 25 FEET FROM AN INTERSECTION,9,0.17881195794433055,0.0,0.0,45.97270949141495,45.99566206138833,parking
311_BICYCLE SERVICES,871,311_BICYCLE SERVICES,2,0.17595242775783784,0.0,0.0,22.482827102211942,22.545526313182,311
PARK ABREAST OF ANOTHER VEHICLE,2117,PARK ABREAST OF ANOTHER VEHICLE,8,0.17565756365177337,0.0,0.0,42.58936043192681,42.61875975544589,parking
crash_1stharm_Parked Motor Vehicle,811,crash_1stharm_Parked Motor Vehicle,2,0.17509160447631147,0.0,0.0,22.372879148625838,22.480644374491938,crash
side_walk_right,540,side_walk_right,1,0.17091285859038888,0.0,0.0,16.1841520823292,16.272524226360296,bk_osm
side_walk_left,524,side_walk_left,5,0.16988091626578838,0.0,0.0,32.78018829120553,32.931004315714105,bk_osm
NO STANDING ANYTIME,2080,NO STANDING ANYTIME,1,0.16831497909828422,0.0,0.0,15.93825899315585,15.967850119470391,parking
STREETTYPE_TER,154,STREETTYPE_TER,5,0.16680135463567977,0.0,0.0,32.1862152738643,32.340564968613876,seg_attr
PARK AT EXPIRED METER,2120,PARK AT EXPIRED METER,1,0.16642160340825052,0.0,0.0,15.759048218059068,15.806822033337154,parking
311_ANC RESOLUTION,861,311_ANC RESOLUTION,2,0.16633778150514297,0.0,0.0,21.25480422850005,21.258576905957852,311
ud_btw_cntr_SgAsNd,336,ud_btw_cntr_SgAsNd,7,0.1662565799461154,0.0,0.0,37.73337572469832,37.83931350954863,net_SaN
311_RESIDENT PARKING PER,1150,311_RESIDENT PARKING PER,1,0.16409333410989846,0.0,0.0,15.538674127598297,15.546944777907765,311
v0rq_Double parking,1634,v0rq_Double parking,5,0.1626448278176814,0.0,0.0,31.384521697866862,31.427615513703348,v0
NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,2097,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,8,0.16117870399059403,0.0,0.0,39.08034074465364,39.22117118589229,parking
"crash_1stharm_Other Fixed Object (Wall, Building, Tunnel, Etc.)",791,"crash_1stharm_Other Fixed Object (Wall, Building, Tunnel, Etc.)",2,0.15855876817891795,0.0,0.0,20.261236077530747,20.348667553973442,crash
crash_evt_COLLISION_WITH_FIXED,730,crash_evt_COLLISION_WITH_FIXED,1,0.15502742361698246,0.0,0.0,14.680572455042967,14.7344073178847,crash
Contraflow Bike Lane,597,Contraflow Bike Lane,8,0.15431519659349513,0.0,0.0,37.416937469550454,37.47092574316441,bk_opendc
ud_btw_cntr_SgAsEg,436,ud_btw_cntr_SgAsEg,7,0.1507688272726898,0.0,0.0,34.21985863777849,34.31658183867789,net_SaE
bikable_no,551,bikable_no,2,0.14613324041204778,0.0,0.0,18.67419564831246,18.685142061584507,bk_osm
STREETTYPE_PKWY,114,STREETTYPE_PKWY,5,0.1416098574821852,0.0,0.0,27.327384254114065,27.375638376352576,seg_attr
STREETTYPE_PL,122,STREETTYPE_PL,3,0.14136372142547635,0.0,0.0,21.647261044721777,22.73172684830403,seg_attr
RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR,2261,RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR,2,0.14071482808332214,0.0,0.0,17.982133340038498,18.04853582220348,parking
STREETTYPE_LN,94,STREETTYPE_LN,5,0.14016015732282167,0.0,0.0,27.04777212702478,27.139806468245784,seg_attr
