column,,column,db_nb,I,p_norm,p_rand,z_norm,z_rand,ftr_type
STREETTYPE_ST,101,STREETTYPE_ST,150,0.25092351492478215,0.0,0.0,49.66795406578964,136.64246354355407,seg_attr
STAND OR PARK IN ALLEY,1600,STAND OR PARK IN ALLEY,200,0.24748350608238676,0.0,0.0,63.161930464874274,63.245240376074065,parking
Cycle Track,423,Cycle Track,150,0.23933728761944517,0.0,0.0,47.37524491402935,47.498147280060344,bk_opendc
STREETTYPE_OTHER,71,STREETTYPE_OTHER,50,0.23918113766656976,0.0,0.0,11.69612758702526,11.703864384025966,seg_attr
DISOBEYING OFFICIAL SIGN,1367,DISOBEYING OFFICIAL SIGN,100,0.2361194800960026,0.0,0.0,31.097398888098972,31.133506415734438,parking
NO FRONT TAGS.,1431,NO FRONT TAGS.,150,0.23096741003816088,0.0,0.0,45.71899440003465,45.923645774136446,parking
STREETTYPE_DR,59,STREETTYPE_DR,150,0.22789729929342864,0.0,0.0,45.111473865880896,45.609092094374034,seg_attr
cycle_lane_one,325,cycle_lane_one,150,0.22324377900630388,0.0,0.0,44.19062463092082,44.724270730075986,bk_osm
d_btw_cntr_SgAsEg,291,d_btw_cntr_SgAsEg,200,0.21391823843432145,0.0,0.0,54.59807196726121,54.75690620394086,net_SaE
d_btw_cntr_SgAsNd,158,d_btw_cntr_SgAsNd,200,0.21340894469445537,0.0,0.0,54.46813051803267,54.626132926576396,net_SaN
cycle_way_right,353,cycle_way_right,150,0.21165643385574257,0.0,0.0,41.89769427739153,41.907175182311505,bk_osm
ud_art_pt_SgAsNd,211,ud_art_pt_SgAsNd,50,0.2104155106331521,0.0,0.0,10.28990281458094,10.335432542157347,net_SaN
311_LIGHT-LIGHT POLE,695,311_LIGHT-LIGHT POLE,100,0.20763420619815576,0.0,0.0,27.347007140858622,27.388711181288237,311
cycle_lane_both,318,cycle_lane_both,150,0.20629763526356532,0.0,0.0,40.83728295876795,41.54897086081678,bk_osm
Shared Lane,435,Shared Lane,50,0.20484842215066754,0.0,0.0,10.017752385690077,10.107375684732364,bk_opendc
is_shared,311,is_shared,150,0.20365894496339235,0.0,0.0,40.31513288865143,40.387624626594494,bk_osm
311_ROADWAY REPAIR,835,311_ROADWAY REPAIR,100,0.20070023164140668,0.0,0.0,26.43407503964502,26.526487434651646,311
STREETTYPE_BLVD,33,STREETTYPE_BLVD,300,0.19865807828112225,0.0,0.0,71.41598682061561,71.57540940101951,seg_attr
311_LIGHT-INFRASTRUCTURE,688,311_LIGHT-INFRASTRUCTURE,100,0.19638114320244976,0.0,0.0,25.865420734436125,25.867610423136128,311
FAILURE TO SECURE DC TAGS,1417,FAILURE TO SECURE DC TAGS,150,0.195053608707037,0.0,0.0,38.612289273643775,39.116569305905486,parking
FAIL TO DISPLAY CURRENT INSPECTION STICKER,1389,FAIL TO DISPLAY CURRENT INSPECTION STICKER,150,0.1936929324154977,0.0,0.0,38.34303553780878,38.53636087007969,parking
RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR,1591,RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR,100,0.18856351795943252,0.0,0.0,24.8361465452683,24.89271637538536,parking
311_SPEED STUDY DATA MAP,975,311_SPEED STUDY DATA MAP,100,0.1847695093079916,0.0,0.0,24.336624624350485,24.371837932755756,311
STREETTYPE_TER,107,STREETTYPE_TER,100,0.1790583693538962,0.0,0.0,23.58469181064519,23.699087708391396,seg_attr
cycle_way_one,346,cycle_way_one,150,0.17788277012722262,0.0,0.0,35.21448447335257,35.297804528892364,bk_osm
bikable_no,386,bikable_no,50,0.17775448563451454,0.0,0.0,8.693249197639064,8.698675907184906,bk_osm
FAIL TO PROPERLY AFFIX VALIDATION STICKERS,1394,FAIL TO PROPERLY AFFIX VALIDATION STICKERS,50,0.17290449747809564,0.0,0.0,8.456154644348267,8.488212665721148,parking
RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,1578,RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,150,0.17262528351226308,0.0,0.0,34.174121000436536,34.313224018630976,parking
STREETTYPE_AVE,24,STREETTYPE_AVE,150,0.16833103617799744,0.0,0.0,33.32436551888666,38.123815421372996,seg_attr
v0rq_Double parking,1144,v0rq_Double parking,150,0.16554642926930982,0.0,0.0,32.77334113663047,32.8181655540473,v0
