,STREETTYPE_CRES_neighbor,ud_far_cntr_SgAsNd_neighbor,ud_node_ecc_SgAsNd_neighbor,poi_total_neighbor,crime_total_neighbor
11452,0.0,44.65281482915,76.66666666666667,2.0,110.33333333333331
11453,0.0,45.51791296965715,78.14285714285714,1.0,64.28571428571429
11454,0.0,45.89535901861,78.8,0.4,39.3
11455,0.0,46.318581091781816,79.54545454545455,0.8181818181818182,39.90909090909091
11456,0.0,46.62058656135454,80.18181818181819,1.9090909090909087,39.36363636363637
11457,0.0,46.96170251628749,80.875,2.5,36.0
11458,0.0,47.41469592012,82.2,3.6,30.2
11459,0.0,45.924146111899994,82.0,1.5,27.25
11460,0.0,45.977013719700004,82.0,1.8,18.6
11461,0.0,46.861828323270004,82.8,2.1,21.7
11462,0.0,46.8592012235,82.8,2.0,21.6
11463,0.0,46.915317554690006,82.8,2.0,22.5
11464,0.0,48.117223511916656,84.1111111111111,1.1666666666666667,22.88888888888889
11465,0.0,37.22411670128333,68.33333333333333,9.25,203.5
11466,0.0,42.73776481345715,72.42857142857143,2.0,96.28571428571428
11467,0.0,47.98077301868,83.5,0.5,18.3
11468,0.0,33.10938600305714,60.14285714285714,24.857142857142854,7.571428571428571
11469,0.0,33.267778447066675,59.66666666666666,29.0,8.666666666666666
11470,0.0,33.68708577156,59.8,32.0,50.4
11471,0.0,34.23183948885714,60.14285714285714,31.285714285714285,108.14285714285714
11472,0.0,34.87871431966154,61.30769230769231,21.0,129.23076923076923
11473,0.0,35.69607789151111,63.0,28.0,265.22222222222223
11474,0.0,37.19397535658,66.8,4.4,218.8
11475,0.0,39.962390895750005,72.8,8.0,146.1
11476,0.0,39.84148510396,72.5,9.2,141.9
11477,0.0,39.95096697615714,72.71428571428571,10.0,128.28571428571428
11478,0.0,39.95552343491667,72.83333333333333,6.666666666666668,119.33333333333331
11479,0.0,39.7994145062,73.0,3.5,167.9
11480,0.0,39.203723597285716,72.35714285714286,6.2142857142857135,139.14285714285714
11481,0.0,38.88428835145333,71.86666666666666,8.6,138.46666666666667
11482,0.0,38.81493199243125,71.6875,10.0,144.375
11483,0.0,38.653197308386666,71.26666666666667,12.0,142.73333333333332
11484,0.0,38.4464396228,70.375,10.125,155.25
11485,0.0,33.5993202884125,61.5,8.75,164.75
11486,0.0,29.189215300987502,53.125,4.375,159.375
11487,0.0,38.71858865848,68.4,7.0,206.6
11488,0.0,39.41378586076249,69.125,2.5,164.625
11489,0.0,39.578743411257136,69.28571428571429,1.8571428571428568,149.0
11490,0.0,44.35850154056666,73.77777777777777,2.6666666666666665,104.22222222222223
11491,0.0,44.59427332012857,74.0,2.8571428571428568,89.57142857142857
11492,0.0,42.38158532215,77.125,1.5,38.75
11493,0.0,41.99526818627857,76.57142857142857,1.6428571428571428,39.57142857142857
11494,0.0,46.648896000145456,80.18181818181819,2.272727272727273,20.0
11495,0.0,46.64743819653846,79.92307692307692,1.3846153846153846,28.461538461538463
11496,0.0,46.43524405574666,79.6,1.2,31.13333333333333
11497,0.0,45.861847130515386,78.76923076923076,0.38461538461538464,37.769230769230774
11498,0.0,46.159245640529996,79.2,0.4,39.8
11499,0.0,46.71766767690001,79.85714285714286,0.8571428571428571,33.714285714285715
11500,0.0,46.54408879897144,79.42857142857143,1.2857142857142858,33.0
11501,0.0,45.89821737714999,78.25,1.875,39.625
11502,0.0,45.9122501600875,78.0,1.5,46.75
11503,0.0,46.54556415661111,78.55555555555556,0.7777777777777778,43.111111111111114
11504,0.0,46.64290369465714,78.57142857142857,0.2857142857142857,60.14285714285714
11505,0.0,47.076826221816674,80.66666666666667,1.1666666666666667,30.16666666666667
11506,0.0,46.515670758681814,80.0,1.4545454545454546,38.45454545454545
11507,0.0,45.3828451543,80.4,1.8,92.2
11508,0.0,44.91341572624286,79.85714285714286,1.5714285714285714,88.85714285714286
11509,0.0,44.4794632455625,79.5,1.875,81.25
11510,0.0,47.845259072124996,83.25,1.75,34.0
11511,0.0,47.911106772880004,83.6,1.0,40.4
11512,0.0,47.773365341716655,83.5,3.333333333333333,53.83333333333334
11513,0.0,47.377579810525,83.25,3.25,77.0
11514,0.0,45.99426906072858,81.71428571428571,7.857142857142858,78.57142857142857
11515,0.0,45.9343399990125,81.625,7.5,101.375
11516,0.0,46.80924439290001,82.5,5.166666666666667,105.66666666666669
11517,0.0,47.03157350319999,82.66666666666667,2.0,75.33333333333333
11518,0.0,47.4187068725,83.0,2.0,54.0
11519,0.0,44.9998510089,80.5,6.5,45.0
11520,0.0,45.26047040675,80.75,2.75,29.5
11521,0.0,46.97887116835,82.5,1.5,12.0
11522,0.0,46.64988110250001,82.57142857142857,2.2857142857142856,16.714285714285715
11523,0.0,46.96388559921112,82.8888888888889,1.8888888888888888,23.11111111111111
11524,0.0,37.386392530866665,67.33333333333333,2.333333333333333,190.83333333333331
11525,0.0,37.534114474412505,68.125,2.625,159.125
11526,0.0,38.10811727395557,69.0,2.7777777777777777,152.11111111111111
11527,0.0,38.68863643207778,69.77777777777777,2.555555555555556,136.33333333333334
11528,0.0,38.66797073612,70.0,3.8,134.4
11529,0.0,39.157948894549996,70.75,4.625,134.375
11530,0.0,39.369875764571425,71.42857142857143,4.142857142857143,129.57142857142858
11531,0.0,39.743107617775,72.125,8.125,144.625
11532,0.0,40.18170773924286,73.28571428571429,7.7142857142857135,111.0
11533,0.0,40.77989994319,74.4,2.4,102.3
11534,0.0,41.39057853559,75.3,1.5,91.7
11535,0.0,42.03992359647,76.5,3.5,98.5
11536,0.0,45.633048656560014,80.8,1.0,108.6
11537,0.0,45.046885080900005,80.57142857142857,1.1428571428571428,172.28571428571428
11538,0.0,44.983755397633345,80.66666666666667,2.0,85.5
11539,0.0,46.147671600974995,82.25,5.25,46.0
11540,0.0,40.58446803535001,69.78571428571429,1.3571428571428572,64.28571428571429
11541,0.0,38.115147540959995,67.2,3.4,70.2
11542,0.0,40.7389819392,74.25,9.625,182.0
11543,0.0,40.570477539725,74.125,5.25,179.75
11544,0.0,40.385886779325,73.75,5.375,150.5
11545,0.0,40.51615228210001,73.8888888888889,5.777777777777778,113.22222222222223
11546,0.0,40.311939470925005,73.75,4.25,98.0
11547,0.0,40.0261683678875,73.75,2.25,100.0
11548,0.0,39.44019063279231,72.84615384615384,5.307692307692308,99.92307692307692
