column,,column,db_b,I,p_norm,p_rand,z_norm,z_rand,ftr_type
PARK LESS THAN 25 FEET FROM AN INTERSECTION,1501,PARK LESS THAN 25 FEET FROM AN INTERSECTION,150,0.1711445770895046,0.0,0.0,35.39546162474782,35.41539289524321,parking
FAIL TO PROPERLY AFFIX VALIDATION STICKERS,1394,FAIL TO PROPERLY AFFIX VALIDATION STICKERS,50,0.1701073158179816,0.0,0.0,8.369950616095844,8.401681104413118,parking
PARK LESS THAN 40 FEET FROM AN INTERSECTION,1507,PARK LESS THAN 40 FEET FROM AN INTERSECTION,100,0.16744252474637494,0.0,0.0,22.397616197265773,22.409439547856117,parking
Climbing Lane,408,Climbing Lane,100,0.16392123516590373,0.0,0.0,21.926805858089455,21.961862878761124,bk_opendc
v0rq_Double parking,1144,v0rq_Double parking,150,0.1638378258537396,0.0,0.0,33.88496025711801,33.93097205361643,v0
PARK ABREAST OF ANOTHER VEHICLE,1481,PARK ABREAST OF ANOTHER VEHICLE,200,0.1633905208680527,0.0,0.0,45.00689770882018,45.035860639037146,parking
NO STANDING ANYTIME,1460,NO STANDING ANYTIME,200,0.15964376511803352,0.0,0.0,43.97529834919404,44.0488635605202,parking
311_RESIDENT PARKING PER,806,311_RESIDENT PARKING PER,50,0.15712969913036165,2.1316282072803006e-14,2.042810365310288e-14,7.731678215744299,7.7359315052726965,311
RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR,1583,RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR,50,0.15613558816783954,3.108624468950438e-14,2.4868995751603507e-14,7.682785294529415,7.711446469573379,parking
311_STRCAR,983,311_STRCAR,150,0.15563990225506627,0.0,0.0,32.19022967057379,32.2003563759096,311
side_walk_left,367,side_walk_left,150,0.15484572478250117,0.0,0.0,32.02605189583602,32.17290552654374,bk_osm
crash_1stharm_Parked Motor Vehicle,570,crash_1stharm_Parked Motor Vehicle,150,0.15336052920259202,0.0,0.0,31.7190221527582,31.86948105019283,crash
FAIL TO YIELD RIGHT OF WAY,1338,FAIL TO YIELD RIGHT OF WAY,50,0.1529702405264373,1.0391687510491465e-13,9.769962616701378e-14,7.527105396929092,7.535214542229699,moving
311_BICYCLE SERVICES,612,311_BICYCLE SERVICES,150,0.1519038950439307,0.0,0.0,31.41789682115741,31.503225124346216,311
PARK AT EXPIRED METER,1486,PARK AT EXPIRED METER,100,0.14880134461557143,0.0,0.0,19.905216711377424,19.96506841367894,parking
Contraflow Bike Lane,416,Contraflow Bike Lane,150,0.14242686031226304,0.0,0.0,29.458739671644793,29.502539366416116,bk_opendc
IMPROPER DISPLAY OF TAGS,1422,IMPROPER DISPLAY OF TAGS,50,0.13864514909005124,1.7886581105130972e-11,1.596767162936885e-11,6.822560740044614,6.838835695971197,parking
NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,1466,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,150,0.1369730485869898,0.0,0.0,28.331290576416606,28.434637892896816,parking
STREETTYPE_LN,66,STREETTYPE_LN,150,0.1366621804626413,0.0,0.0,28.26702580102881,28.362775799658138,seg_attr
STREETTYPE_PL,86,STREETTYPE_PL,100,0.13587732821223136,0.0,0.0,18.17722462003611,19.088132789328334,seg_attr
ud_btw_cntr_SgAsNd,236,ud_btw_cntr_SgAsNd,300,0.13181624442811496,0.0,0.0,54.1933827801722,54.32800048946002,net_SaN
crash_evt_COLLISION_WITH_FIXED,512,crash_evt_COLLISION_WITH_FIXED,50,0.13129708397295076,2.0780133169751025e-10,1.7749712810655183e-10,6.461164092792327,6.484971304112568,crash
PARK MORE THAN 12 INCHES FROM CURB,1514,PARK MORE THAN 12 INCHES FROM CURB,100,0.13111009020321324,0.0,0.0,17.539826049805566,17.54123236369778,parking
311_SIGN MISSING,933,311_SIGN MISSING,100,0.1248766251053502,0.0,0.0,16.706387120714165,16.70720709378922,311
NO PARKING STREET CLEANING,1444,NO PARKING STREET CLEANING,100,0.12438202314541404,0.0,0.0,16.640256883142605,16.693556478355774,parking
NO PARKING ANYTIME,1438,NO PARKING ANYTIME,150,0.12392275269411487,0.0,0.0,25.633444549077844,25.654790938359525,parking
EMERGENCY NO PARKING,1375,EMERGENCY NO PARKING,150,0.12374308710984035,0.0,0.0,25.596302856141275,25.63877604853582,parking
ud_btw_cntr_SgAsEg,306,ud_btw_cntr_SgAsEg,300,0.12312322665232674,0.0,0.0,50.621441669325904,50.748146811815346,net_SaE
STREETTYPE_PKWY,80,STREETTYPE_PKWY,150,0.11621022763423841,0.0,0.0,24.0390588535858,24.08114039867637,seg_attr
PARK OVERTIME IN TIMED ZONE,1528,PARK OVERTIME IN TIMED ZONE,100,0.11077624379214443,0.0,0.0,14.82111038988152,14.837243016486035,parking
PARK IN A BUS ZONE,1494,PARK IN A BUS ZONE,150,0.10389132789808252,0.0,0.0,21.49241201989081,21.504556907979953,parking
